_id,date,agegrp,covid_deaths
1,2020-03-16T00:00:00,60-69,1
2,2020-03-17T00:00:00,70-79,1
3,2020-03-17T00:00:00,80+,1
4,2020-03-18T00:00:00,80+,1
5,2020-03-20T00:00:00,30-39,1
6,2020-03-20T00:00:00,50-59,1
7,2020-03-20T00:00:00,70-79,2
8,2020-03-20T00:00:00,80+,2
9,2020-03-21T00:00:00,70-79,1
10,2020-03-21T00:00:00,80+,3
11,2020-03-22T00:00:00,50-59,1
12,2020-03-22T00:00:00,60-69,1
13,2020-03-22T00:00:00,70-79,2
14,2020-03-23T00:00:00,50-59,2
15,2020-03-23T00:00:00,70-79,1
16,2020-03-23T00:00:00,80+,2
17,2020-03-24T00:00:00,50-59,1
18,2020-03-24T00:00:00,60-69,3
19,2020-03-24T00:00:00,80+,1
20,2020-03-25T00:00:00,70-79,2
21,2020-03-25T00:00:00,80+,3
22,2020-03-26T00:00:00,50-59,2
23,2020-03-26T00:00:00,60-69,1
24,2020-03-26T00:00:00,70-79,1
25,2020-03-26T00:00:00,80+,5
26,2020-03-27T00:00:00,70-79,1
27,2020-03-27T00:00:00,80+,2
28,2020-03-28T00:00:00,60-69,5
29,2020-03-28T00:00:00,70-79,5
30,2020-03-28T00:00:00,80+,3
31,2020-03-29T00:00:00,60-69,2
32,2020-03-29T00:00:00,70-79,5
33,2020-03-29T00:00:00,80+,10
34,2020-03-30T00:00:00,50-59,1
35,2020-03-30T00:00:00,60-69,4
36,2020-03-30T00:00:00,70-79,5
37,2020-03-30T00:00:00,80+,4
38,2020-03-31T00:00:00,30-39,1
39,2020-03-31T00:00:00,40-49,2
40,2020-03-31T00:00:00,50-59,4
41,2020-03-31T00:00:00,60-69,4
42,2020-03-31T00:00:00,70-79,7
43,2020-03-31T00:00:00,80+,5
44,2020-04-01T00:00:00,30-39,1
45,2020-04-01T00:00:00,60-69,4
46,2020-04-01T00:00:00,70-79,6
47,2020-04-01T00:00:00,80+,10
48,2020-04-02T00:00:00,40-49,1
49,2020-04-02T00:00:00,60-69,8
50,2020-04-02T00:00:00,70-79,4
51,2020-04-02T00:00:00,80+,8
52,2020-04-03T00:00:00,30-39,1
53,2020-04-03T00:00:00,50-59,2
54,2020-04-03T00:00:00,60-69,9
55,2020-04-03T00:00:00,70-79,13
56,2020-04-03T00:00:00,80+,7
57,2020-04-04T00:00:00,50-59,2
58,2020-04-04T00:00:00,60-69,4
59,2020-04-04T00:00:00,70-79,8
60,2020-04-04T00:00:00,80+,11
61,2020-04-05T00:00:00,40-49,2
62,2020-04-05T00:00:00,50-59,4
63,2020-04-05T00:00:00,60-69,6
64,2020-04-05T00:00:00,70-79,5
65,2020-04-05T00:00:00,80+,15
66,2020-04-06T00:00:00,30-39,1
67,2020-04-06T00:00:00,40-49,2
68,2020-04-06T00:00:00,50-59,2
69,2020-04-06T00:00:00,60-69,4
70,2020-04-06T00:00:00,70-79,7
71,2020-04-06T00:00:00,80+,9
72,2020-04-07T00:00:00,30-39,1
73,2020-04-07T00:00:00,50-59,2
74,2020-04-07T00:00:00,60-69,6
75,2020-04-07T00:00:00,70-79,11
76,2020-04-07T00:00:00,80+,18
77,2020-04-08T00:00:00,40-49,1
78,2020-04-08T00:00:00,50-59,2
79,2020-04-08T00:00:00,60-69,5
80,2020-04-08T00:00:00,70-79,7
81,2020-04-08T00:00:00,80+,14
82,2020-04-09T00:00:00,40-49,1
83,2020-04-09T00:00:00,50-59,1
84,2020-04-09T00:00:00,60-69,9
85,2020-04-09T00:00:00,70-79,11
86,2020-04-09T00:00:00,80+,14
87,2020-04-10T00:00:00,40-49,1
88,2020-04-10T00:00:00,50-59,1
89,2020-04-10T00:00:00,60-69,7
90,2020-04-10T00:00:00,70-79,2
91,2020-04-10T00:00:00,80+,15
92,2020-04-11T00:00:00,50-59,2
93,2020-04-11T00:00:00,60-69,5
94,2020-04-11T00:00:00,70-79,5
