Year,Sex,Age Group,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths
2020.0,All Sexes,1-4 years,143.0,342.0,75.0
2020.0,All Sexes,5-14 years,341.0,476.0,91.0
2020.0,All Sexes,15-24 years,2674.0,2356.0,104.0
2020.0,All Sexes,25-34 years,11275.0,9286.0,272.0
2020.0,All Sexes,35-44 years,27870.0,22148.0,437.0
2020.0,All Sexes,45-54 years,66892.0,54006.0,891.0
2020.0,All Sexes,50-64 years,188239.0,164799.0,2545.0
2020.0,All Sexes,55-64 years,147658.0,131410.0,2002.0
2020.0,All Sexes,65-74 years,231026.0,214170.0,2484.0
2020.0,All Sexes,75-84 years,259244.0,241109.0,2617.0
2020.0,All Sexes,85 years and over,257814.0,223988.0,2538.0
2020.0,Male,1-4 years,71.0,169.0,46.0
2020.0,Male,5-14 years,177.0,263.0,45.0
2020.0,Male,15-24 years,1586.0,1410.0,48.0
2020.0,Male,25-34 years,6920.0,5627.0,135.0
2020.0,Male,35-44 years,17323.0,13453.0,235.0
2020.0,Male,45-54 years,42875.0,33278.0,519.0
2020.0,Male,50-64 years,117251.0,99453.0,1452.0
2020.0,Male,55-64 years,91112.0,78794.0,1132.0
2020.0,Male,65-74 years,137373.0,126912.0,1377.0
2020.0,Male,75-84 years,145668.0,137293.0,1288.0
2020.0,Male,85 years and over,113285.0,106617.0,997.0
2020.0,Female,1-4 years,72.0,173.0,29.0
2020.0,Female,5-14 years,164.0,213.0,46.0
2020.0,Female,15-24 years,1088.0,946.0,56.0
2020.0,Female,25-34 years,4355.0,3659.0,137.0
2020.0,Female,35-44 years,10547.0,8695.0,202.0
2020.0,Female,45-54 years,24017.0,20728.0,372.0
2020.0,Female,50-64 years,70988.0,65346.0,1093.0
2020.0,Female,55-64 years,56546.0,52616.0,870.0
2020.0,Female,65-74 years,93653.0,87258.0,1107.0
2020.0,Female,75-84 years,113576.0,103816.0,1329.0
2020.0,Female,85 years and over,144529.0,117371.0,1541.0
2020.0,All Sexes,35-44 years,633.0,376.0,11.0
2020.0,All Sexes,45-54 years,1540.0,904.0,16.0
2020.0,All Sexes,50-64 years,4267.0,2771.0,69.0
2020.0,All Sexes,55-64 years,3330.0,2225.0,56.0
2020.0,All Sexes,65-74 years,4999.0,3553.0,45.0
2020.0,All Sexes,75-84 years,4976.0,3670.0,38.0
2020.0,All Sexes,85 years and over,3618.0,2604.0,24.0
2020.0,Male,50-64 years,2419.0,1535.0,42.0
2020.0,Male,55-64 years,1885.0,1221.0,35.0
2020.0,Male,65-74 years,2876.0,2079.0,28.0
2020.0,Male,75-84 years,2738.0,2021.0,18.0
2020.0,Male,85 years and over,1546.0,1187.0,13.0
2020.0,Female,50-64 years,1848.0,1236.0,27.0
2020.0,Female,55-64 years,1445.0,1004.0,21.0
2020.0,Female,65-74 years,2123.0,1474.0,17.0
2020.0,Female,75-84 years,2238.0,1649.0,20.0
2020.0,Female,85 years and over,2072.0,1417.0,11.0
2020.0,All Sexes,5-14 years,0.0,0.0,0.0
2020.0,Male,5-14 years,0.0,0.0,0.0
2020.0,Male,65-74 years,211.0,175.0,0.0
